Multiplication table for Z_36:
*	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	
1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	
2	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	
3	3	6	9	12	15	18	21	24	27	30	33	0	3	6	9	12	15	18	21	24	27	30	33	0	3	6	9	12	15	18	21	24	27	30	33	
4	4	8	12	16	20	24	28	32	0	4	8	12	16	20	24	28	32	0	4	8	12	16	20	24	28	32	0	4	8	12	16	20	24	28	32	
5	5	10	15	20	25	30	35	4	9	14	19	24	29	34	3	8	13	18	23	28	33	2	7	12	17	22	27	32	1	6	11	16	21	26	31	
6	6	12	18	24	30	0	6	12	18	24	30	0	6	12	18	24	30	0	6	12	18	24	30	0	6	12	18	24	30	0	6	12	18	24	30	
7	7	14	21	28	35	6	13	20	27	34	5	12	19	26	33	4	11	18	25	32	3	10	17	24	31	2	9	16	23	30	1	8	15	22	29	
8	8	16	24	32	4	12	20	28	0	8	16	24	32	4	12	20	28	0	8	16	24	32	4	12	20	28	0	8	16	24	32	4	12	20	28	
9	9	18	27	0	9	18	27	0	9	18	27	0	9	18	27	0	9	18	27	0	9	18	27	0	9	18	27	0	9	18	27	0	9	18	27	
10	10	20	30	4	14	24	34	8	18	28	2	12	22	32	6	16	26	0	10	20	30	4	14	24	34	8	18	28	2	12	22	32	6	16	26	
11	11	22	33	8	19	30	5	16	27	2	13	24	35	10	21	32	7	18	29	4	15	26	1	12	23	34	9	20	31	6	17	28	3	14	25	
12	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	0	12	24	
13	13	26	3	16	29	6	19	32	9	22	35	12	25	2	15	28	5	18	31	8	21	34	11	24	1	14	27	4	17	30	7	20	33	10	23	
14	14	28	6	20	34	12	26	4	18	32	10	24	2	16	30	8	22	0	14	28	6	20	34	12	26	4	18	32	10	24	2	16	30	8	22	
15	15	30	9	24	3	18	33	12	27	6	21	0	15	30	9	24	3	18	33	12	27	6	21	0	15	30	9	24	3	18	33	12	27	6	21	
16	16	32	12	28	8	24	4	20	0	16	32	12	28	8	24	4	20	0	16	32	12	28	8	24	4	20	0	16	32	12	28	8	24	4	20	
17	17	34	15	32	13	30	11	28	9	26	7	24	5	22	3	20	1	18	35	16	33	14	31	12	29	10	27	8	25	6	23	4	21	2	19	
18	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	0	18	
19	19	2	21	4	23	6	25	8	27	10	29	12	31	14	33	16	35	18	1	20	3	22	5	24	7	26	9	28	11	30	13	32	15	34	17	
20	20	4	24	8	28	12	32	16	0	20	4	24	8	28	12	32	16	0	20	4	24	8	28	12	32	16	0	20	4	24	8	28	12	32	16	
21	21	6	27	12	33	18	3	24	9	30	15	0	21	6	27	12	33	18	3	24	9	30	15	0	21	6	27	12	33	18	3	24	9	30	15	
22	22	8	30	16	2	24	10	32	18	4	26	12	34	20	6	28	14	0	22	8	30	16	2	24	10	32	18	4	26	12	34	20	6	28	14	
23	23	10	33	20	7	30	17	4	27	14	1	24	11	34	21	8	31	18	5	28	15	2	25	12	35	22	9	32	19	6	29	16	3	26	13	
24	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	0	24	12	
25	25	14	3	28	17	6	31	20	9	34	23	12	1	26	15	4	29	18	7	32	21	10	35	24	13	2	27	16	5	30	19	8	33	22	11	
26	26	16	6	32	22	12	2	28	18	8	34	24	14	4	30	20	10	0	26	16	6	32	22	12	2	28	18	8	34	24	14	4	30	20	10	
27	27	18	9	0	27	18	9	0	27	18	9	0	27	18	9	0	27	18	9	0	27	18	9	0	27	18	9	0	27	18	9	0	27	18	9	
28	28	20	12	4	32	24	16	8	0	28	20	12	4	32	24	16	8	0	28	20	12	4	32	24	16	8	0	28	20	12	4	32	24	16	8	
29	29	22	15	8	1	30	23	16	9	2	31	24	17	10	3	32	25	18	11	4	33	26	19	12	5	34	27	20	13	6	35	28	21	14	7	
30	30	24	18	12	6	0	30	24	18	12	6	0	30	24	18	12	6	0	30	24	18	12	6	0	30	24	18	12	6	0	30	24	18	12	6	
31	31	26	21	16	11	6	1	32	27	22	17	12	7	2	33	28	23	18	13	8	3	34	29	24	19	14	9	4	35	30	25	20	15	10	5	
32	32	28	24	20	16	12	8	4	0	32	28	24	20	16	12	8	4	0	32	28	24	20	16	12	8	4	0	32	28	24	20	16	12	8	4	
33	33	30	27	24	21	18	15	12	9	6	3	0	33	30	27	24	21	18	15	12	9	6	3	0	33	30	27	24	21	18	15	12	9	6	3	
34	34	32	30	28	26	24	22	20	18	16	14	12	10	8	6	4	2	0	34	32	30	28	26	24	22	20	18	16	14	12	10	8	6	4	2	
35	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	
Multiplication table for Z_45:
*	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	
1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	
2	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	1	3	5	7	9	11	13	15	17	19	21	23	25	27	29	31	33	35	37	39	41	43	
3	3	6	9	12	15	18	21	24	27	30	33	36	39	42	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	
4	4	8	12	16	20	24	28	32	36	40	44	3	7	11	15	19	23	27	31	35	39	43	2	6	10	14	18	22	26	30	34	38	42	1	5	9	13	17	21	25	29	33	37	41	
5	5	10	15	20	25	30	35	40	0	5	10	15	20	25	30	35	40	0	5	10	15	20	25	30	35	40	0	5	10	15	20	25	30	35	40	0	5	10	15	20	25	30	35	40	
6	6	12	18	24	30	36	42	3	9	15	21	27	33	39	0	6	12	18	24	30	36	42	3	9	15	21	27	33	39	0	6	12	18	24	30	36	42	3	9	15	21	27	33	39	
7	7	14	21	28	35	42	4	11	18	25	32	39	1	8	15	22	29	36	43	5	12	19	26	33	40	2	9	16	23	30	37	44	6	13	20	27	34	41	3	10	17	24	31	38	
8	8	16	24	32	40	3	11	19	27	35	43	6	14	22	30	38	1	9	17	25	33	41	4	12	20	28	36	44	7	15	23	31	39	2	10	18	26	34	42	5	13	21	29	37	
9	9	18	27	36	0	9	18	27	36	0	9	18	27	36	0	9	18	27	36	0	9	18	27	36	0	9	18	27	36	0	9	18	27	36	0	9	18	27	36	0	9	18	27	36	
10	10	20	30	40	5	15	25	35	0	10	20	30	40	5	15	25	35	0	10	20	30	40	5	15	25	35	0	10	20	30	40	5	15	25	35	0	10	20	30	40	5	15	25	35	
11	11	22	33	44	10	21	32	43	9	20	31	42	8	19	30	41	7	18	29	40	6	17	28	39	5	16	27	38	4	15	26	37	3	14	25	36	2	13	24	35	1	12	23	34	
12	12	24	36	3	15	27	39	6	18	30	42	9	21	33	0	12	24	36	3	15	27	39	6	18	30	42	9	21	33	0	12	24	36	3	15	27	39	6	18	30	42	9	21	33	
13	13	26	39	7	20	33	1	14	27	40	8	21	34	2	15	28	41	9	22	35	3	16	29	42	10	23	36	4	17	30	43	11	24	37	5	18	31	44	12	25	38	6	19	32	
14	14	28	42	11	25	39	8	22	36	5	19	33	2	16	30	44	13	27	41	10	24	38	7	21	35	4	18	32	1	15	29	43	12	26	40	9	23	37	6	20	34	3	17	31	
15	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	0	15	30	
16	16	32	3	19	35	6	22	38	9	25	41	12	28	44	15	31	2	18	34	5	21	37	8	24	40	11	27	43	14	30	1	17	33	4	20	36	7	23	39	10	26	42	13	29	
17	17	34	6	23	40	12	29	1	18	35	7	24	41	13	30	2	19	36	8	25	42	14	31	3	20	37	9	26	43	15	32	4	21	38	10	27	44	16	33	5	22	39	11	28	
18	18	36	9	27	0	18	36	9	27	0	18	36	9	27	0	18	36	9	27	0	18	36	9	27	0	18	36	9	27	0	18	36	9	27	0	18	36	9	27	0	18	36	9	27	
19	19	38	12	31	5	24	43	17	36	10	29	3	22	41	15	34	8	27	1	20	39	13	32	6	25	44	18	37	11	30	4	23	42	16	35	9	28	2	21	40	14	33	7	26	
20	20	40	15	35	10	30	5	25	0	20	40	15	35	10	30	5	25	0	20	40	15	35	10	30	5	25	0	20	40	15	35	10	30	5	25	0	20	40	15	35	10	30	5	25	
21	21	42	18	39	15	36	12	33	9	30	6	27	3	24	0	21	42	18	39	15	36	12	33	9	30	6	27	3	24	0	21	42	18	39	15	36	12	33	9	30	6	27	3	24	
22	22	44	21	43	20	42	19	41	18	40	17	39	16	38	15	37	14	36	13	35	12	34	11	33	10	32	9	31	8	30	7	29	6	28	5	27	4	26	3	25	2	24	1	23	
23	23	1	24	2	25	3	26	4	27	5	28	6	29	7	30	8	31	9	32	10	33	11	34	12	35	13	36	14	37	15	38	16	39	17	40	18	41	19	42	20	43	21	44	22	
24	24	3	27	6	30	9	33	12	36	15	39	18	42	21	0	24	3	27	6	30	9	33	12	36	15	39	18	42	21	0	24	3	27	6	30	9	33	12	36	15	39	18	42	21	
25	25	5	30	10	35	15	40	20	0	25	5	30	10	35	15	40	20	0	25	5	30	10	35	15	40	20	0	25	5	30	10	35	15	40	20	0	25	5	30	10	35	15	40	20	
26	26	7	33	14	40	21	2	28	9	35	16	42	23	4	30	11	37	18	44	25	6	32	13	39	20	1	27	8	34	15	41	22	3	29	10	36	17	43	24	5	31	12	38	19	
27	27	9	36	18	0	27	9	36	18	0	27	9	36	18	0	27	9	36	18	0	27	9	36	18	0	27	9	36	18	0	27	9	36	18	0	27	9	36	18	0	27	9	36	18	
28	28	11	39	22	5	33	16	44	27	10	38	21	4	32	15	43	26	9	37	20	3	31	14	42	25	8	36	19	2	30	13	41	24	7	35	18	1	29	12	40	23	6	34	17	
29	29	13	42	26	10	39	23	7	36	20	4	33	17	1	30	14	43	27	11	40	24	8	37	21	5	34	18	2	31	15	44	28	12	41	25	9	38	22	6	35	19	3	32	16	
30	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	0	30	15	
